hhid,pid,gen,dob_m,dob_y,intrv_m,popgrp,mar
500000,636991,Female,April,1983.0,October,2.0,1.0
500000,640576,Male,March,1980.0,October,2.0,1.0
500002,305961,Female,September,1979.0,August,1.0,1.0
500002,401746,Male,March,2004.0,August,1.0,
500002,630858,Female,November,2011.0,August,1.0,
500002,731651,Male,August,1972.0,August,1.0,1.0
500003,303668,Male,December,1967.0,March,1.0,
500003,703450,Female,December,1991.0,March,1.0,
500003,746176,Female,April,1954.0,March,1.0,
500003,763879,Female,October,2010.0,March,1.0,
500003,769557,Male,February,1977.0,March,1.0,
500003,782520,Male,June,2013.0,March,1.0,
500003,787751,Female,November,1928.0,March,1.0,
500004,310664,Female,June,1967.0,April,1.0,3.0
500005,319004,Male,June,1977.0,April,2.0,
500006,401698,Female,February,1993.0,March,1.0,2.0
500006,624989,Male,August,2014.0,March,1.0,
500006,630051,Female,May,2011.0,March,1.0,
500006,716968,Female,November,1972.0,March,1.0,3.0
500006,734074,Female,September,1954.0,March,1.0,1.0
500006,755010,Male,September,1950.0,March,1.0,1.0
500006,795652,Male,October,1989.0,March,1.0,2.0
500007,316119,Male,February,1968.0,April,1.0,1.0
500007,747659,Female,June,2016.0,April,1.0,
500007,753507,Female,January,2014.0,April,1.0,
500007,796156,Female,July,1983.0,April,1.0,1.0
500008,408602,Male,June,1998.0,October,1.0,
500008,726383,Female,April,1929.0,October,1.0,
500008,735370,Male,February,1960.0,October,1.0,1.0
500008,768312,Female,February,1978.0,October,1.0,
500012,501627,Male,September,1958.0,June,1.0,3.0
500013,317435,Female,February,1979.0,April,1.0,
500013,317437,Female,October,1989.0,April,1.0,
500013,407193,Female,August,2007.0,April,1.0,
500013,630106,Female,May,2011.0,April,1.0,
500013,640897,Female,November,2016.0,April,1.0,
500013,689629,Female,October,2014.0,April,1.0,
500013,725918,Female,December,2004.0,April,1.0,
500013,784739,Male,January,1993.0,April,1.0,
500014,402629,Female,March,2003.0,April,1.0,
500014,715263,Female,November,2013.0,April,1.0,
500014,744715,Female,June,1959.0,April,1.0,
500014,777735,Male,July,2002.0,April,1.0,
500014,779432,Female,October,1989.0,April,1.0,
500014,799697,Female,February,1998.0,April,1.0,
500015,501912,Female,February,1981.0,September,1.0,
500015,603067,Female,June,2009.0,September,1.0,
500015,622914,Male,March,2012.0,September,1.0,
500016,317135,Female,March,1975.0,July,1.0,
500016,317136,Female,June,1977.0,July,1.0,
500016,407121,Male,June,2006.0,July,1.0,
500016,409704,Female,August,1999.0,July,1.0,
500016,409705,Female,January,2005.0,July,1.0,
500016,626166,Female,June,2016.0,July,1.0,
500016,630466,Female,May,2011.0,July,1.0,
500016,647966,Male,June,2013.0,July,1.0,
500016,706906,Female,January,2015.0,July,1.0,
500016,713409,Male,January,2008.0,July,1.0,
500016,721974,Female,May,1953.0,July,1.0,
500016,731214,Male,September,1982.0,July,1.0,
500016,734380,Male,February,1988.0,July,1.0,
500016,785389,Female,August,1985.0,July,1.0,3.0
500017,314591,Male,June,1986.0,July,1.0,
500018,305204,Female,February,1990.0,May,2.0,
500019,624819,Female,May,1957.0,August,1.0,
500019,664718,Male,March,1985.0,August,1.0,2.0
500019,664867,Male,November,2015.0,August,1.0,
500019,668025,Female,May,1988.0,August,1.0,2.0
500019,676900,Male,May,1994.0,August,1.0,
500019,692795,Female,,,August,1.0,
500020,302842,Female,April,1969.0,August,2.0,
500020,405988,Female,March,1994.0,August,2.0,
500020,408022,Male,August,1997.0,August,2.0,
500020,799545,Female,October,1996.0,August,2.0,
500021,309867,Female,March,1988.0,February,1.0,2.0
500021,630318,Female,August,2011.0,February,1.0,
500021,729169,Male,January,1985.0,February,1.0,2.0
500022,666977,Male,May,1949.0,October,4.0,1.0
500023,319238,Female,August,1983.0,April,2.0,1.0
500023,319239,Male,April,1976.0,April,2.0,1.0
500023,411497,Female,January,2003.0,April,2.0,
500023,620251,Female,February,2010.0,April,2.0,
500024,305867,Female,April,1989.0,March,1.0,3.0
500024,305868,Female,April,1984.0,March,1.0,3.0
500024,305877,Female,May,1957.0,March,1.0,
500024,403280,Male,March,2007.0,March,1.0,
500024,403281,Female,September,2000.0,March,1.0,
500024,403283,Male,May,1994.0,March,1.0,
500024,696739,Female,November,2011.0,March,1.0,
500024,700046,Female,September,2011.0,March,1.0,
500024,723337,Female,September,1997.0,March,1.0,
500025,323956,Female,February,1981.0,February,2.0,2.0
500025,412374,Male,April,2004.0,February,2.0,
500025,583059,Male,October,1981.0,February,2.0,2.0
500025,733305,Female,January,1997.0,February,2.0,
500025,741363,Female,May,2013.0,February,2.0,
500027,314105,Male,September,1991.0,May,1.0,
500028,319598,Female,August,1949.0,April,1.0,
500028,319599,Male,June,1972.0,April,1.0,
500028,320417,Male,November,1979.0,April,1.0,
500030,304391,Female,March,1966.0,April,1.0,
500030,403409,Female,October,1998.0,April,1.0,
500030,405153,Female,December,1995.0,April,1.0,
500030,405186,Female,December,2000.0,April,1.0,
500030,634710,Female,May,2013.0,April,1.0,
500030,731199,Female,July,2010.0,April,1.0,
500030,731654,Female,March,2012.0,April,1.0,
500030,733361,Female,January,1985.0,April,1.0,
500030,741504,Female,May,2015.0,April,1.0,
500030,745077,Female,April,1991.0,April,1.0,
500032,302304,Male,September,1962.0,February,1.0,1.0
500032,308983,Male,March,1984.0,February,1.0,
500032,308985,Male,June,1988.0,February,1.0,
500032,310227,Female,September,1991.0,February,1.0,
500032,310233,Female,September,1964.0,February,1.0,1.0
500032,401854,Male,December,2006.0,February,1.0,
500032,501355,Male,May,1981.0,February,1.0,
500033,322205,Female,December,1982.0,September,2.0,
500033,322206,Female,November,1958.0,September,2.0,2.0
500033,391103,Male,July,1990.0,September,2.0,
500033,491186,Female,May,1996.0,September,2.0,
500033,491187,Male,June,2003.0,September,2.0,
500033,603055,Female,September,2017.0,September,2.0,
500033,620461,Female,June,2010.0,September,2.0,
500033,732611,Male,December,1973.0,September,2.0,2.0
500034,323459,Female,February,1976.0,October,2.0,
500034,412188,Male,October,1997.0,October,2.0,
500034,412672,Female,December,2001.0,October,2.0,
500034,630186,Female,August,2010.0,October,2.0,
500034,727480,Female,May,1956.0,October,2.0,1.0
500036,306589,Male,September,1986.0,April,1.0,2.0
500036,704189,Female,January,1993.0,April,1.0,2.0
500037,410205,Male,December,1997.0,February,1.0,
500037,745076,Female,,,February,1.0,
500037,799932,Male,August,1964.0,February,1.0,
500038,303522,Female,May,1990.0,August,1.0,
500038,607823,Female,April,2012.0,August,1.0,
500038,677539,Female,June,2017.0,August,1.0,
500038,755316,Female,April,1968.0,August,1.0,
500039,311939,Female,July,1992.0,July,1.0,
500040,408054,Male,June,1994.0,September,1.0,
500040,720766,Female,August,1968.0,September,1.0,1.0
500042,636985,Male,December,1942.0,September,4.0,1.0
