hhid,mrt24mnth,mrtdod_m1,mrtdod_y1,mrtdod_m2,mrtdod_y2,toishr,enrgelec,refrem,empl,rent,grn,tinc,ownrad,ownhif,owntel,ownsat,ownvid,owncom,owncam,owncel,ownelestv,owngasstv,ownparstv,ownmic,ownfrg,ownwsh,ownvehpri,mrtage1,mrtage2,dwltyp,watsrc,watdis,toi,enrgck,enrght,enrglght,tinc_brac1,tinc_brac2,tinc_brac3,tinc_brac4,tinc_brac5,tinc_brac6,tellnd,prov,geo
500000,No,,,,,No,Yes,Yes,Yes,No,No,44568.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,2.0,3
500001,No,,,,,Yes,Yes,Yes,No,No,No,0.0,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,9.0,3
500002,No,,,,,No,Yes,No,Yes,No,Yes,9000.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,,7.0,6.0,2.0,5.0,1.0,11.0,1.0,,,,,,,3.0,9.0,2
500003,No,,,,,No,Yes,No,Yes,No,Yes,3700.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,1.0,3.0,1.0,4.0,1.0,5.0,1.0,,,,,,,3.0,6.0,2
500004,No,,,,,Yes,Yes,No,Yes,No,No,2000.0,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,8.0,1
500005,No,,,,,No,Yes,Yes,Yes,No,No,12500.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,,,3.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,2.0,3
500006,No,,,,,No,Yes,No,No,No,Yes,25000.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,,,1.0,1.0,,5.0,5.0,5.0,1.0,,,,,,,3.0,9.0,2
500007,No,,,,,No,Yes,Yes,Yes,No,No,17000.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,5.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
500008,No,,,,,No,Yes,No,Yes,No,No,14000.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,,,1.0,1.0,,3.0,1.0,11.0,1.0,,,,,,,3.0,5.0,2
500010,No,,,,,Yes,Yes,No,No,No,No,800.0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,1.0,2.0,,5.0,1.0,1.0,1.0,,,,,,,3.0,8.0,2
500012,No,,,,,No,Yes,No,Yes,No,No,10000.0,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,9.0,3.0,1.0,5.0,2.0,2.0,1.0,,,,,,,3.0,5.0,2
500013,No,,,,,Yes,Yes,No,Yes,No,Yes,3250.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,2.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
500014,No,,,,,No,Yes,Yes,Yes,No,Yes,2900.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,3.0,3
500015,No,,,,,No,Yes,Yes,Yes,No,No,8000.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,3.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,5.0,3
500016,No,,,,,No,No,No,Yes,No,Yes,6000.0,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,1.0,3.0,2.0,4.0,5.0,5.0,7.0,,,,,,,3.0,5.0,2
500017,No,,,,,No,Yes,No,Yes,No,Yes,4000.0,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,1.0,3.0,2.0,4.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
500018,No,,,,,No,Yes,No,No,No,Yes,360.0,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,2.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,3.0,3
500019,No,,,,,No,Yes,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,2.0,7.0,3
500020,No,,,,,No,Yes,Yes,Yes,No,No,2000.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,,,1.0,1.0,,1.0,1.0,11.0,1.0,,,,,,,3.0,1.0,3
500021,No,,,,,Yes,Yes,Yes,Yes,No,Yes,4000.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,6.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500022,No,,,,,No,Yes,Yes,Yes,No,No,11000.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,3.0,3.0,1.0,,,,,,,3.0,2.0,3
500023,No,,,,,No,No,Yes,Yes,No,Yes,4000.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,1.0,3
500024,No,,,,,No,Yes,No,Yes,No,Yes,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,9.0,2
500025,No,,,,,No,Yes,Yes,Yes,No,Yes,8000.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,3.0,3
500026,No,,,,,No,Yes,No,No,No,No,3000.0,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,,6.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,9.0,2
500027,No,,,,,Yes,Yes,Yes,Yes,No,No,3000.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,,,3.0,1.0,,2.0,1.0,11.0,1.0,,,,,,,3.0,5.0,3
500028,No,,,,,Yes,No,Yes,No,No,No,4500.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,3
500030,No,,,,,No,Yes,No,Yes,No,Yes,16000.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,2.0,,4.0,5.0,1.0,2.0,,,,,,,3.0,9.0,2
500032,No,,,,,No,Yes,Yes,Yes,No,Yes,5000.0,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500033,No,,,,,No,Yes,Yes,Yes,No,Yes,4000.0,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,3
500034,No,,,,,No,Yes,Yes,Yes,No,Yes,4730.0,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,3
500035,No,,,,,No,Yes,Yes,Yes,No,No,5000.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,6.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500036,No,,,,,Yes,Yes,Yes,Yes,No,No,12000.0,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,9.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,8.0,3
500037,No,,,,,No,Yes,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500038,No,,,,,No,Yes,No,Yes,No,No,8000.0,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,,,1.0,2.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,2.0,2
500039,No,,,,,Yes,Yes,Yes,Yes,No,No,1200.0,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,3.0,5.0,3
