pid,watsrc,enrgelec,nopres,nou7res,no7to17res,nocld,no60res,hhincchld,incchld,hhincgovpen,incgovpen,incgov,hhinc,hhfdyn,fdayn,fdcyn,hhinccv,prov,area,area_des,dwltyp,hhinc_brac,hhincmain,hhincsrc1,hhincsrc2,hhincsrc3,hhincsrc4,fdaskp,fdcskp
301067,Yes,Yes,7.0,0.0,1.0,6.0,0.0,1.0,,0.0,,No,,Yes,Yes,No,1.0,7.0,3.0,3.0,,1.0,3.0,1.0,3.0,,,2.0,
301070,Yes,Yes,6.0,3.0,0.0,2.0,1.0,3.0,,1.0,,Yes,,Yes,No,No,1.0,7.0,2.0,3.0,,2.0,3.0,3.0,,,,,
301073,Yes,Yes,6.0,1.0,3.0,0.0,2.0,3.0,,2.0,,Yes,,Yes,No,No,0.0,7.0,2.0,3.0,,3.0,3.0,3.0,,,,,
301079,Yes,Yes,14.0,2.0,2.0,10.0,0.0,2.0,,0.0,,Yes,1600.0,Yes,No,No,2.0,7.0,2.0,3.0,,,3.0,3.0,,,,,
301082,Yes,Yes,1.0,0.0,0.0,1.0,0.0,,,,,No,4000.0,Yes,Yes,,1.0,7.0,2.0,3.0,3.0,,1.0,1.0,,,,2.0,
301086,Yes,Yes,4.0,0.0,2.0,2.0,0.0,2.0,,0.0,,Yes,3000.0,No,No,No,,5.0,2.0,3.0,,,3.0,2.0,3.0,,,,
301088,Yes,Yes,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,,No,21000.0,Yes,Yes,,0.0,7.0,2.0,3.0,3.0,,1.0,1.0,,,,2.0,
301090,Yes,Yes,4.0,1.0,0.0,2.0,1.0,1.0,,1.0,,Yes,2600.0,No,No,No,1.0,7.0,2.0,3.0,3.0,,3.0,3.0,4.0,,,,
301092,Yes,Yes,13.0,5.0,3.0,5.0,0.0,7.0,,2.0,,No,16000.0,No,No,No,0.0,2.0,3.0,1.0,,,1.0,1.0,3.0,,,,
301113,Yes,Yes,7.0,2.0,2.0,3.0,0.0,4.0,,0.0,,No,,Yes,No,No,0.0,7.0,2.0,3.0,,3.0,3.0,3.0,4.0,,,,
301150,Yes,Yes,7.0,1.0,2.0,4.0,0.0,2.0,,0.0,,No,1100.0,Yes,No,No,0.0,7.0,3.0,,,,3.0,3.0,,,,,
301177,Yes,Yes,4.0,1.0,1.0,2.0,0.0,1.0,,0.0,,No,1500.0,Yes,No,No,0.0,7.0,2.0,4.0,,,1.0,1.0,3.0,,,,
301178,Yes,Yes,4.0,0.0,1.0,3.0,0.0,1.0,,0.0,,No,7900.0,No,No,No,1.0,7.0,2.0,3.0,3.0,,1.0,1.0,3.0,,,,
301183,Yes,Yes,4.0,1.0,0.0,2.0,1.0,1.0,,1.0,,Yes,4000.0,No,No,No,2.0,7.0,2.0,3.0,,,4.0,3.0,4.0,,,,
301193,Yes,Yes,4.0,0.0,0.0,4.0,0.0,0.0,,0.0,,No,700.0,No,No,,0.0,7.0,2.0,3.0,,,4.0,4.0,,,,,
301199,Yes,Yes,6.0,1.0,1.0,3.0,1.0,1.0,,1.0,,No,,Yes,Yes,Yes,0.0,7.0,2.0,3.0,,2.0,3.0,2.0,3.0,,,3.0,3.0
301204,No,No,4.0,0.0,0.0,4.0,0.0,0.0,,0.0,,No,8000.0,No,No,,0.0,8.0,3.0,2.0,4.0,,1.0,1.0,,,,,
301208,No,Yes,5.0,1.0,2.0,2.0,0.0,3.0,,0.0,,No,2600.0,No,No,No,0.0,9.0,1.0,1.0,2.0,,3.0,3.0,,,,,
301215,No,Yes,7.0,2.0,0.0,5.0,0.0,2.0,,0.0,,No,11000.0,No,No,No,2.0,8.0,3.0,1.0,,,3.0,1.0,,,,,
301227,Yes,Yes,5.0,1.0,3.0,0.0,1.0,3.0,,1.0,,Yes,2800.0,No,No,No,0.0,4.0,2.0,4.0,,,3.0,3.0,,,,,
301241,Yes,Yes,7.0,1.0,2.0,4.0,0.0,2.0,,0.0,,Yes,940.0,Yes,Yes,No,0.0,7.0,2.0,3.0,3.0,,3.0,1.0,3.0,,,2.0,
301253,Yes,Yes,5.0,0.0,1.0,3.0,1.0,1.0,,1.0,,Yes,,No,No,No,2.0,7.0,2.0,3.0,,2.0,3.0,3.0,,,,,
301260,No,No,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,Yes,2000.0,Yes,Yes,,1.0,7.0,2.0,2.0,3.0,,1.0,1.0,,,,4.0,
301261,Yes,Yes,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,,Yes,1900.0,Yes,Yes,,0.0,7.0,2.0,3.0,,,3.0,3.0,,,,3.0,
301265,Yes,Yes,4.0,1.0,0.0,2.0,1.0,1.0,,1.0,,Yes,2600.0,No,No,No,1.0,9.0,1.0,4.0,4.0,,3.0,3.0,,,,,
301268,Yes,Yes,5.0,2.0,1.0,2.0,0.0,2.0,,0.0,,No,4800.0,No,No,No,0.0,7.0,1.0,4.0,,,1.0,1.0,,,,,
301290,Yes,Yes,4.0,1.0,1.0,2.0,0.0,2.0,,1.0,,Yes,1900.0,Yes,Yes,Yes,0.0,7.0,2.0,3.0,3.0,,3.0,3.0,,,,2.0,2.0
301293,Yes,Yes,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,No,4500.0,No,No,,0.0,7.0,2.0,3.0,,,1.0,1.0,,,,,
301296,Yes,Yes,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,No,7600.0,No,No,,0.0,7.0,2.0,3.0,,,1.0,1.0,,,,,
