pid,intrv_m,dob_m,dob_y,mar,lvetog,gen,popgrp
301067,April,July,1971.0,Yes,Yes,Female,1.0
301070,April,January,1986.0,No,,Male,1.0
301073,April,July,1957.0,Yes,Yes,Male,1.0
301079,April,February,1970.0,Yes,Yes,Female,1.0
301082,April,June,1989.0,Yes,No,Male,1.0
301086,May,June,1972.0,No,,Female,1.0
301088,April,May,1978.0,Yes,No,Male,1.0
301090,April,August,1964.0,Yes,Yes,Female,1.0
301092,April,October,1981.0,Yes,Yes,Female,1.0
301113,April,March,1992.0,No,,Female,1.0
301150,April,October,1969.0,Yes,Yes,Female,2.0
301177,April,December,1981.0,No,,Female,1.0
301178,May,August,1980.0,No,,Female,1.0
301183,May,June,1966.0,No,,Female,1.0
301193,April,February,1970.0,No,,Female,1.0
301199,April,February,1981.0,No,,Male,1.0
301204,April,February,1979.0,Yes,Yes,Male,1.0
301208,May,April,1985.0,Yes,Yes,Female,1.0
301215,April,April,1972.0,No,,Female,1.0
301227,April,July,1956.0,No,,Female,1.0
301241,April,November,1989.0,No,,Female,1.0
301253,April,October,1951.0,Yes,No,Female,1.0
301260,May,May,1974.0,No,,Male,1.0
301261,April,January,1959.0,No,,Male,1.0
301265,April,May,1984.0,No,,Female,1.0
301268,April,November,1990.0,Yes,No,Male,1.0
301290,April,April,1971.0,Yes,Yes,Male,1.0
301293,April,December,1975.0,No,,Female,1.0
301296,April,April,1981.0,No,,Female,1.0
301309,April,October,1979.0,Yes,Yes,Male,1.0
301324,April,March,1963.0,No,,Female,1.0
301327,May,October,1979.0,No,,Female,1.0
301329,April,August,1983.0,Yes,Yes,Female,1.0
301340,April,October,1962.0,No,,Male,1.0
301346,April,May,1988.0,Yes,Yes,Male,1.0
301371,April,February,1969.0,Yes,No,Female,1.0
301376,April,September,1973.0,Yes,Yes,Male,1.0
301380,April,June,1982.0,No,,Female,1.0
301390,April,March,1988.0,No,,Female,1.0
301401,April,February,1958.0,Yes,Yes,Male,1.0
301418,April,November,1991.0,No,,Female,1.0
301421,April,July,1986.0,No,,Female,1.0
301424,April,September,1980.0,No,,Female,1.0
301426,May,December,1962.0,Yes,Yes,Female,1.0
301438,April,May,1966.0,Yes,Yes,Female,1.0
301444,May,April,1979.0,Yes,Yes,Male,1.0
301445,April,February,1989.0,Yes,Yes,Male,1.0
301459,April,April,1977.0,Yes,Yes,Female,1.0
301460,April,February,1970.0,Yes,Yes,Male,1.0
301461,April,April,1950.0,Yes,No,Female,1.0
301464,April,November,1981.0,Yes,Yes,Male,1.0
301465,April,May,1984.0,No,,Female,1.0
301468,April,November,1976.0,Yes,Yes,Female,1.0
301469,April,July,1975.0,No,,Female,1.0
301470,April,January,1960.0,Yes,No,Female,1.0
301471,April,February,1988.0,No,,Female,1.0
301472,April,September,1986.0,Yes,Yes,Male,1.0
301473,April,September,1992.0,No,,Female,1.0
301475,April,December,1988.0,Yes,Yes,Male,1.0
301476,April,January,1991.0,No,,Female,1.0
301479,April,October,1985.0,Yes,Yes,Male,1.0
301484,April,March,1982.0,Yes,Yes,Male,1.0
301488,April,March,1987.0,Yes,Yes,Male,1.0
301501,May,July,1963.0,Yes,Yes,Female,1.0
301509,April,September,1954.0,Yes,Yes,Female,1.0
301510,April,August,1984.0,Yes,Yes,Male,1.0
301523,April,November,1988.0,No,,Male,1.0
301534,April,February,1952.0,Yes,Yes,Male,1.0
301535,April,December,1991.0,No,,Female,1.0
301551,April,December,1982.0,No,,Male,1.0
301556,April,December,1979.0,Yes,No,Female,1.0
301562,April,March,1976.0,No,,Male,1.0
301564,April,April,1981.0,No,,Female,1.0
301607,April,April,1975.0,No,,Male,1.0
301608,April,February,1977.0,Yes,No,Female,1.0
301609,April,October,1985.0,Yes,Yes,Male,1.0
301615,April,October,1987.0,No,,Male,1.0
301623,May,July,1979.0,No,,Female,1.0
301629,May,June,1965.0,Yes,No,Male,1.0
301630,April,May,1978.0,No,,Female,1.0
301638,May,November,1986.0,Yes,No,Female,1.0
301639,April,April,1983.0,No,,Male,1.0
301648,May,May,1984.0,Yes,No,Female,1.0
301650,April,June,1956.0,Yes,Yes,Female,1.0
301656,April,September,1989.0,Yes,Yes,Male,1.0
301661,April,April,1986.0,Yes,No,Female,1.0
301667,April,September,1982.0,Yes,Yes,Female,1.0
301668,April,September,1977.0,No,,Female,1.0
301677,May,November,1979.0,Yes,No,Female,1.0
301679,April,August,1954.0,No,,Female,1.0
301693,April,June,1953.0,No,,Female,1.0
301714,April,August,1991.0,Yes,Yes,Female,1.0
301720,April,May,1984.0,No,,Female,1.0
301725,April,November,1952.0,No,,Female,1.0
301729,April,March,1992.0,Yes,Yes,Male,1.0
301733,April,November,1969.0,Yes,Yes,Female,1.0
301764,April,July,1970.0,No,,Female,1.0
301792,May,April,1968.0,Yes,Yes,Female,1.0
301795,April,July,1981.0,Yes,Yes,Male,1.0
301797,April,November,1965.0,No,,Female,1.0
301798,April,July,1983.0,Yes,Yes,Female,1.0
301799,April,December,1982.0,No,,Female,1.0
301827,April,April,1973.0,No,,Female,1.0
301833,April,June,1967.0,No,,Female,1.0
301835,April,October,1966.0,No,,Male,1.0
301836,May,April,1978.0,No,,Male,1.0
301843,May,March,1980.0,Yes,Yes,Female,1.0
301846,April,October,1961.0,Yes,Yes,Female,1.0
301847,April,January,1992.0,No,,Female,1.0
301869,May,December,1949.0,Yes,Yes,Male,1.0
301893,April,September,1974.0,No,,Female,1.0
301897,April,June,1976.0,Yes,Yes,Female,1.0
301900,April,December,1989.0,No,,Male,1.0
301921,April,May,1973.0,Yes,Yes,Male,1.0
301960,April,March,1974.0,No,,Female,1.0
301978,April,February,1979.0,No,,Female,1.0
301987,April,April,1978.0,No,,Female,1.0
302003,April,July,1964.0,Yes,Yes,Female,1.0
302011,April,September,1992.0,Yes,Yes,Female,1.0
302015,May,October,1992.0,No,,Female,1.0
302024,April,January,1989.0,Yes,Yes,Male,1.0
302026,April,August,1984.0,Yes,Yes,Female,1.0
302034,May,December,1988.0,No,,Female,1.0
302035,April,December,1979.0,Yes,Yes,Female,1.0
302037,April,July,1973.0,Yes,Yes,Female,1.0
302041,April,January,1984.0,No,,Female,1.0
302043,April,April,1992.0,No,,Female,1.0
302044,April,May,1991.0,No,,Female,1.0
302053,April,April,1980.0,No,,Female,1.0
302054,April,April,1959.0,Yes,No,Female,1.0
302058,April,July,1984.0,No,,Male,1.0
302069,April,June,1988.0,No,,Female,1.0
302077,April,December,1989.0,No,,Male,1.0
302081,April,October,1970.0,Yes,Yes,Female,1.0
302082,April,September,1982.0,Yes,Yes,Male,1.0
302084,April,March,1980.0,No,,Female,1.0
302101,April,December,1972.0,Yes,Yes,Male,1.0
302109,April,September,1970.0,Yes,Yes,Female,1.0
302115,April,June,1964.0,No,,Male,1.0
302117,April,January,1973.0,No,,Female,1.0
302120,April,January,1993.0,No,,Male,1.0
302131,April,October,1988.0,Yes,Yes,Female,1.0
302135,April,November,1952.0,Yes,Yes,Female,1.0
302138,April,February,1980.0,Yes,Yes,Female,1.0
302139,April,June,1976.0,No,,Female,1.0
302140,April,December,1985.0,No,,Female,1.0
302141,April,May,1969.0,No,,Female,1.0
302142,April,December,1990.0,Yes,Yes,Male,1.0
302144,May,August,1963.0,Yes,Yes,Male,1.0
302147,April,January,1991.0,Yes,Yes,Female,1.0
302150,April,December,1985.0,No,,Female,1.0
302151,April,May,1944.0,No,,Female,1.0
302159,April,July,1991.0,No,,Female,1.0
302162,April,April,1988.0,Yes,Yes,Male,1.0
302164,April,June,1975.0,No,,Female,1.0
302165,April,November,1974.0,Yes,Yes,Female,1.0
302168,April,December,1990.0,Yes,No,Male,1.0
302170,April,March,1962.0,No,,Female,1.0
302180,April,December,1986.0,No,,Male,1.0
302182,April,September,1973.0,Yes,Yes,Female,1.0
302185,April,March,1962.0,Yes,Yes,Male,1.0
302200,April,October,1989.0,No,,Female,1.0
302208,April,July,1982.0,Yes,Yes,Male,1.0
302211,April,January,1986.0,Yes,Yes,Male,1.0
302214,May,July,1987.0,Yes,No,Male,1.0
302217,April,May,1953.0,Yes,No,Female,1.0
302218,April,August,1969.0,Yes,No,Female,1.0
302233,May,July,1985.0,No,,Male,1.0
302244,April,January,1985.0,No,,Female,1.0
302246,April,April,1971.0,Yes,Yes,Female,4.0
302250,April,September,1983.0,No,,Female,1.0
302260,April,July,1977.0,No,,Male,1.0
302265,April,April,1978.0,Yes,Yes,Male,1.0
302277,April,October,1970.0,Yes,Yes,Male,2.0
302293,April,December,1981.0,Yes,Yes,Male,1.0
302314,April,November,1990.0,Yes,No,Male,1.0
302317,April,January,1986.0,Yes,Yes,Female,1.0
302335,April,November,1981.0,Yes,Yes,Male,1.0
302337,April,June,1970.0,No,,Female,4.0
302357,May,September,1974.0,Yes,Yes,Female,1.0
302360,April,June,1984.0,Yes,Yes,Female,1.0
302395,April,April,1990.0,No,,Male,1.0
302397,April,July,1954.0,No,,Female,1.0
302438,May,May,1980.0,Yes,Yes,Female,1.0
302440,April,July,1982.0,No,,Female,1.0
302441,April,August,1968.0,Yes,Yes,Female,1.0
302442,April,July,1969.0,Yes,Yes,Male,1.0
302445,April,April,1965.0,Yes,Yes,Female,1.0
302449,April,January,1988.0,Yes,No,Female,1.0
302451,April,February,1957.0,No,,Female,1.0
302454,April,March,1990.0,Yes,Yes,Female,1.0
302455,April,October,1975.0,No,,Female,1.0
302467,April,October,1962.0,Yes,No,Female,1.0
302471,April,March,1987.0,Yes,Yes,Female,1.0
302472,May,March,1938.0,Yes,No,Female,1.0
302477,April,October,1965.0,Yes,Yes,Male,1.0
302479,May,April,1970.0,Yes,Yes,Female,1.0
302480,April,January,1970.0,No,,Female,1.0
302485,May,February,1978.0,Yes,Yes,Male,1.0
302489,April,December,1988.0,Yes,Yes,Male,1.0
302491,May,June,1963.0,Yes,Yes,Male,1.0
302492,April,November,1963.0,Yes,Yes,Male,1.0
302493,April,June,1969.0,Yes,Yes,Female,1.0
302504,April,September,1989.0,Yes,Yes,Female,1.0
302512,April,June,1986.0,No,,Female,1.0
302515,April,November,1991.0,No,,Male,1.0
302516,April,March,1970.0,Yes,Yes,Female,1.0
302524,April,July,1992.0,Yes,No,Male,1.0
